hold_h,tp,sl,is_n,is_avg,is_win,is_total,is_sharpe,is_worst,oos_n,oos_avg,oos_win,oos_total,oos_sharpe,oos_worst
72,0.08,-0.1,30,0.0264,0.7,1.0419,5.2556,-0.101,16,0.025,0.6875,0.4427,4.9908,-0.101
120,0.12,-0.08,30,0.0402,0.6667,1.9394,5.2024,-0.081,16,0.0153,0.5,0.2001,1.6667,-0.081
120,0.08,-0.04,30,0.019,0.5,0.6696,5.1975,-0.041,16,0.0265,0.5625,0.4788,5.6079,-0.041
48,0.08,-0.06,30,0.0185,0.6,0.6493,5.1963,-0.061,16,0.0199,0.6875,0.3373,5.1187,-0.061
48,0.12,-0.1,30,0.0242,0.6333,0.9306,5.1839,-0.101,16,0.0244,0.6875,0.4269,5.1975,-0.0766
24,,-0.08,30,0.014,0.6333,0.4583,5.1524,-0.081,16,0.017,0.625,0.2973,8.8683,-0.0427
48,,,30,0.034,0.6333,1.4705,5.1485,-0.0963,16,0.0264,0.6875,0.4669,5.1961,-0.0766
24,0.12,-0.08,30,0.0138,0.6333,0.4539,5.1417,-0.081,16,0.0187,0.625,0.3294,8.8184,-0.0427
120,0.08,-0.06,30,0.0242,0.6333,0.9221,5.0753,-0.061,16,0.0199,0.5625,0.3226,3.5362,-0.061
72,0.08,-0.06,30,0.0214,0.6333,0.7787,5.0523,-0.061,16,0.0206,0.625,0.3482,4.596,-0.061
72,,-0.08,30,0.0549,0.6667,3.0774,5.0013,-0.081,16,0.0173,0.625,0.2684,2.7306,-0.081
48,,-0.1,30,0.0322,0.6333,1.3303,4.7812,-0.101,16,0.0264,0.6875,0.4669,5.1961,-0.0766
48,0.08,-0.08,30,0.019,0.6333,0.6561,4.7376,-0.081,16,0.0198,0.6875,0.3344,4.8177,-0.0766
120,0.08,-0.08,30,0.0256,0.6667,0.9819,4.7358,-0.081,16,0.0134,0.5625,0.1822,1.9609,-0.081
72,0.12,-0.06,30,0.0265,0.6,1.0213,4.6434,-0.061,16,0.0236,0.625,0.404,4.3421,-0.061
48,0.08,-0.04,30,0.0141,0.5,0.4566,4.5795,-0.041,16,0.0245,0.6875,0.444,7.334,-0.041
72,0.08,-0.08,30,0.0217,0.6667,0.774,4.5448,-0.081,16,0.0181,0.625,0.2916,3.5267,-0.081
120,,-0.1,30,0.0563,0.7333,3.4206,4.5206,-0.101,16,0.0376,0.5,0.6131,2.4914,-0.101
120,0.12,-0.06,30,0.0315,0.6,1.3066,4.5206,-0.061,16,0.0216,0.5,0.3378,2.7059,-0.061
72,,-0.06,30,0.0463,0.6,2.2279,4.5137,-0.061,16,0.0198,0.625,0.324,3.4795,-0.061
24,,-0.06,30,0.0113,0.6,0.3487,4.2357,-0.061,16,0.017,0.625,0.2973,8.8683,-0.0427
24,0.12,-0.06,30,0.0112,0.6,0.3447,4.2194,-0.061,16,0.0187,0.625,0.3294,8.8184,-0.0427
120,,-0.04,30,0.0388,0.5,1.721,3.9671,-0.041,16,0.0423,0.4375,0.7608,3.3987,-0.041
48,,-0.04,30,0.023,0.4667,0.7839,3.9527,-0.041,16,0.031,0.6875,0.5873,7.2573,-0.041
48,,-0.08,30,0.0266,0.6,0.955,3.9113,-0.081,16,0.0264,0.6875,0.4669,5.1961,-0.0766
48,0.12,-0.04,30,0.015,0.4667,0.4779,3.8423,-0.041,16,0.0291,0.6875,0.5441,7.4426,-0.041
48,0.12,-0.08,30,0.0186,0.6,0.6197,3.8374,-0.081,16,0.0244,0.6875,0.4269,5.1975,-0.0766
120,,-0.08,30,0.043,0.6333,2.0072,3.597,-0.081,16,0.0333,0.5,0.5036,2.2592,-0.081
48,,-0.06,30,0.0227,0.5333,0.7578,3.5386,-0.061,16,0.0265,0.6875,0.47,5.4706,-0.061
120,,-0.06,30,0.039,0.6,1.6969,3.5238,-0.061,16,0.0332,0.4375,0.5098,2.4403,-0.061
48,0.12,-0.06,30,0.0147,0.5333,0.4563,3.315,-0.061,16,0.0245,0.6875,0.4299,5.4915,-0.061
