date,h_open,h_high,h_low,h_close,h_vol,h_qvol,h_trades,h_taker_buy_qvol,btc_close,btc_qvol,eth_close,eth_qvol,sol_close,sol_qvol,funding_sum,funding_last,oi,oi_usd,top_ls_acct,top_ls_pos,global_ls,taker_ls_vol,vix,btc_ex_netflow_usd,btc_mvrv,btc_adract,eth_ex_netflow_usd,eth_mvrv,eth_adract,h_spot_vol_all
2025-05-30,33.387,34.348,31.369,32.816,3866226.57,127370870.60909,453676.0,65070834.22525,103950.0,23083176001.5792,2529.63,18079390292.1202,156.12,4077467012.71926,0.00015161,5e-05,241271.66,7895149.52776845,0.6967987765838509,1.1074007142857143,0.47646946981366456,1.2184380621118014,18.57,-513612525.9974866,2.2301710388100866,834229.0,-194824565.2325077,1.1259012030968136,584081.0,51270853.3328262
2025-05-31,32.83,33.663,30.724,32.671,5212805.58,168002047.69254,743949.0,84223633.50779,104544.7,10771231013.7278,2527.08,8685292710.63833,156.35,2572639926.02528,-0.00040132000000000004,5e-05,348228.06,11441044.86945158,0.6285278449305556,1.1490456805555556,0.5449182393750001,1.1287810555555557,18.57,64593236.8736527,2.2453195179282552,711975.0,-237847629.38518757,1.130574100209778,639715.0,28710393.2190179
2025-06-01,32.671,34.279,31.505,34.152,3206031.45,104767689.61596,573983.0,54244752.9878,105583.3,10189734693.2765,2537.89,8755165625.15367,157.62,2392545486.89476,0.00030000000000000003,5e-05,340836.6,11627228.24783949,0.7135840873263889,1.027328440972222,0.6943284834375,1.309234190972222,18.57,66336559.14281559,2.266824485425617,689965.0,75211299.16865969,1.1335465461099623,597460.0,23693019.9605125
2025-06-02,34.156,36.66,32.417,36.474,4454011.49,151843588.87449,760665.0,76011016.88472,105814.3,16568774033.5745,2606.48,13325178539.07842,156.74,2937008967.22585,0.00082292,0.00012619,433617.13,15875238.04096953,0.6654025391319445,1.1405887048611112,0.6338119746180556,1.24755328125,18.36,-430383190.2773123,2.2631740322455194,771787.0,-93547671.1994307,1.1590913565597258,594300.0,26831666.6553612
2025-06-03,36.477,38.238,35.658,36.092,5754781.17,212635077.09627,959771.0,105717881.37621,105330.1,14728115908.7851,2592.16,13577160885.2253,155.08,3467151622.84246,0.00038152,0.00013152,666754.17,24212474.0578744,0.5812628316666667,1.1045908645833333,0.5367918773611111,1.0983462881944446,17.69,-1447723295.2668948,2.249049850630191,864048.0,-462192347.7193997,1.1530881864265508,587140.0,41540475.243557
2025-06-04,36.093,37.24,34.479,35.632,5221223.4,188956971.74026,910258.0,94488986.04206,104641.8,12459563151.8403,2606.62,13890243223.44595,153.18,2448718871.02325,0.00041037,0.00016037,935730.67,33504133.65897927,0.49320398291666667,1.0227260277777779,0.5326499802777778,1.1550191631944444,17.61,-971214758.0960197,2.2306295386760513,720304.0,-137581267.44594216,1.1585959570622566,557098.0,27545922.1366584
2025-06-05,35.64,36.426,32.626,34.024,6408548.66,220575718.3804,1041478.0,108091839.36249,101458.6,25426533952.9847,2412.9,21556669894.86718,144.21,4209307968.7747,0.00097482,0.0003953,1018955.39,34790383.00907994,0.5052693239930556,1.1457308506944444,0.6287682483680556,1.0684613506944443,18.48,-174100068.21904802,2.164421975716304,781431.0,99311726.76071,1.087698321030233,550895.0,39453005.0309242
2025-06-06,34.025,35.613,33.081,33.333,5013806.94,172513518.08056,766797.0,86446151.60745,104240.0,18075103218.6038,2475.38,13390557409.25552,147.76,2733120762.71072,0.00063578,5e-05,1004190.25,33482715.50575,0.5702416914583334,1.635396545138889,0.7400264942361111,1.1365126493055557,16.77,33567567.77537203,2.221377259248508,781673.0,-128133860.60647762,1.1139708294633603,568753.0,27355097.451301
2025-06-07,33.334,35.162,33.01,34.921,2809657.95,96046906.40567,472704.0,46440190.45215,105507.5,8393331490.526,2523.4,6733132072.13929,149.98,1708349293.51681,0.00030000000000000003,5e-05,963900.31,33739360.19715038,0.5332259442013889,2.0002440243055557,0.7125668439930556,1.2253900486111111,16.77,129933325.96333599,2.246857184421021,653737.0,-122022824.59280038,1.1348578827420908,645229.0,15384318.1694877
2025-06-08,34.917,36.328,34.491,34.984,3271157.06,115723076.89457,535862.0,57063247.93164,105676.5,7939013396.4349,2508.32,6620003823.64801,152.37,1898566904.78396,0.00043237,0.00018237,982982.85,34477140.4809,0.5728941518402778,1.8680877604166666,0.7390030944791666,1.21693675,16.77,302307772.47831345,2.2465926766265145,611460.0,647456748.9754179,1.127968305216147,635387.0,16353570.9377561
2025-06-09,34.987,39.166,34.706,38.848,6898520.09,255094455.7661,916625.0,129918411.60919,110227.9,20800388814.9273,2679.12,14246910954.41894,161.09,3241582117.22698,0.00032566,5e-05,1198696.78,46485284.04492469,0.6408440635763889,1.5900134166666666,0.7674200610416667,1.1524458368055557,17.16,-533560649.67471695,2.3383291419548384,744523.0,145567873.8930545,1.191380172399276,683387.0,30536826.0337615
2025-06-10,38.848,42.411,38.404,42.241,9124540.17,368309683.96622,1328877.0,185205999.14314,110235.4,16647654303.5421,2815.74,24154747930.96526,165.06,4554998235.51454,0.0008267,5e-05,1470003.44,61965055.00632,0.7172480262152778,1.2584578888888889,0.7196432361458334,1.1143538125,16.95,-169693989.29315233,2.331994320703792,824315.0,-171952825.64863992,1.2368372522237867,618005.0,56725207.7010225
2025-06-11,42.24,44.088,40.71,41.828,7589698.18,320280966.19931,1220564.0,163067930.3479,108600.0,14691641846.5674,2770.34,22221851409.53581,160.88,4356174379.2279,0.0007807000000000001,0.00014752,1574343.08,65985441.51204,0.7205360325,1.4275941458333332,0.7075088474305555,1.1499927881944445,17.26,-197043781.789011,2.299464902547621,755087.0,65128600.800904036,1.221844395635859,613546.0,44982107.4698458
2025-06-12,41.823,43.913,40.3,40.516,9401867.95,392927514.8543,1375367.0,188344325.02438,105609.5,19916220925.2797,2641.38,20158025803.52708,152.23,3557538494.86849,0.00061552,5e-05,1681531.98,68718627.77260166,0.6553610347569445,1.3112882048611112,0.6781853661805556,1.092014027777778,18.02,-251704603.33542967,2.2419620475504862,780705.0,-110403589.82444191,1.1721834762265533,620082.0,34774000.3293808
2025-06-13,40.52,43.065,37.338,42.297,16860067.9,671037682.25069,2001130.0,328946463.16115,106027.3,25704797377.6442,2578.09,28202599088.1968,148.54,5164558091.84504,0.00091077,0.00030213,1992684.79,84390730.73131251,0.7083296459027778,1.1808994027777777,0.8310483801736112,1.1101530694444444,20.82,229458003.86674643,2.2394272436628913,811764.0,-375155709.2193413,1.144715390275308,567310.0,54267022.7736304
2025-06-14,42.299,42.723,38.867,40.13,7391611.45,303307422.51744,1008349.0,146440134.36796,105359.9,8391666383.1509,2529.66,9006633899.97699,144.55,1734822405.22731,0.0009101,0.00025338,2037545.3,81735636.44015832,0.7563478607986112,1.2206710625000001,0.7903096346875,1.1102935659722222,20.82,78430367.56741834,2.227143824699812,631338.0,12424323.89415145,1.1256411485245053,648830.0,22081712.3685387
2025-06-15,40.13,41.478,39.684,41.193,6187277.84,251352806.9959,927539.0,122306843.73501,105534.6,8299752647.8676,2546.32,8854576371.88794,152.89,3234432681.96045,0.00049833,5e-05,1996563.04,82158106.25275606,0.6582493022222222,1.181721371527778,0.7747539495138889,1.0899726458333334,20.82,-185482122.48948598,2.227219971359887,599893.0,-16937568.604736745,1.1297514555507713,597463.0,20159452.0980779
2025-06-16,41.191,45.846,40.686,41.918,12652591.02,554606301.7991,1581413.0,275467880.73413,106750.1,17887208567.0373,2543.12,18500985118.57673,150.67,3828878278.15989,0.00115121,0.00037631,2069964.99,87474585.84670371,0.6587662034722223,1.178597829861111,0.6664060569097222,1.0653590104166666,19.11,-41816945.68503904,2.2587719122318566,722329.0,-163810128.25594473,1.1360484087408185,568812.0,44791061.5072468
2025-06-17,41.92,43.541,38.314,39.968,16344283.26,664355774.94538,1876107.0,327306888.65724,104508.0,23808393905.4278,2508.99,20276853861.58318,147.49,4172082541.89695,0.00086651,5e-05,2127791.93,85558513.5053,0.7590854602430556,1.202460986111111,0.8930363626041667,1.0978808506944444,21.6,-123866967.66055489,2.203207202646305,712578.0,91830101.13556552,1.1164660283567656,611053.0,48230125.0712559
2025-06-18,39.968,41.122,37.561,39.48,15304531.32,600495721.36056,1681704.0,289187012.51281,104832.8,18052952724.8775,2523.49,16787444513.8059,146.28,2937088683.44442,0.00044302,0.00019302,2358100.19,92476085.9704188,0.9772901391319445,1.1632723472222224,1.1133505617361112,1.0307411006944445,20.14,115418231.07241964,2.20581725377894,751671.0,631347771.0336967,1.1217246890937036,591960.0,46846497.5106783
2025-06-19,39.476,40.0,35.8,36.876,12321573.01,459776631.88381,1411156.0,223613990.2805,104607.1,9170655647.4608,2520.18,9226215331.05735,146.96,2118440141.9645,0.00051071,5e-05,2411381.08,89074181.09386595,1.0204472632291666,1.2128793159722222,1.0630578271875,1.0453603229166668,22.17,473599.5707499981,2.202308074044105,716269.0,-12163287.064521432,1.1243516642532525,547969.0,38776690.6814822
2025-06-20,36.877,37.901,33.074,33.387,16615184.89,589318121.76425,1753685.0,289159515.76465,103246.1,20795551830.7014,2405.42,19117430362.24391,140.02,3999869387.81857,0.00031532,5e-05,2532227.44,84577019.955718,1.001725202326389,1.1838966631944445,1.0646413291666665,1.0938746562500001,20.62,78148434.09170651,2.1712340906871987,778947.0,-373505453.65938616,1.07920169003241,558520.0,57771488.2084182
