entry_ts,exit_ts,side,entry_px,exit_px,bars_held,gross_ret,fees,pnl,regime,xgb_prob,chg_short,mr_zscore,vol_ratio,poc_dist_pct,entry_reason,exit_reason
2026-07-31 08:45:00+00:00,2026-07-31 17:35:00+00:00,long,63850.1,63030.0,106,-0.01284414589797038,0.001,-0.01384414589797038,ranging,0.5600544810295105,-0.11966849480498087,0.7156543844031884,0.6492049405515553,-0.7170271928717158,"pocfade: price -0.72% from POC, past ±0.40% — fading back toward value (xgb_p 0.56) [regime ranging]",signal_flip: entry rule now points short
2026-07-31 17:40:00+00:00,2026-08-01 17:30:00+00:00,short,63031.2,62739.9,286,0.004621520770665887,0.001,0.0036215207706658866,transitional,0.7768814414739609,0.16638459154727503,0.9218782829795052,0.326940979895816,0.6639606469060697,"pocfade: price +0.66% from POC, past ±0.40% — fading back toward value (xgb_p 0.78) [regime transitional]",signal_flip: entry rule now points long
2026-08-01 17:35:00+00:00,2026-08-01 21:30:00+00:00,long,62745.2,62813.9,47,0.0010949044707803046,0.001,9.490447078030454e-05,transitional,0.6417011618614197,-0.17071715524442643,-0.9814229477307577,1.0093968047640716,-0.48187586363360424,"pocfade: price -0.48% from POC, past ±0.40% — fading back toward value (xgb_p 0.64) [regime transitional]",signal_flip: entry rule now points short
2026-08-01 22:05:00+00:00,2026-08-02 08:35:00+00:00,short,62811.8,63204.5,126,-0.006252009972648405,0.001,-0.007252009972648405,transitional,0.7936429977416992,0.04396010461231725,-0.6217742808107469,0.9671341573404926,0.41858851002222625,"pocfade: price +0.42% from POC, past ±0.40% — fading back toward value (xgb_p 0.79) [regime transitional]",signal_flip: entry rule now points long
2026-08-02 08:40:00+00:00,2026-08-02 18:35:00+00:00,long,63190.0,63399.8,119,0.0033201455926571122,0.001,0.002320145592657112,trending,0.6792268753051758,-0.379940407687096,-1.4877573786969847,4.731291652300024,-0.4249454878184153,"pocfade: price -0.42% from POC, past ±0.40% — fading back toward value (xgb_p 0.68) [regime trending]",signal_flip: entry rule now points short
2026-08-02 18:40:00+00:00,2026-08-03 01:50:00+00:00,short,63472.3,63140.9,86,0.005221175221317038,0.001,0.004221175221317038,transitional,0.6941176354885101,0.2910499762198704,0.20095278478792233,11.581871607803963,0.6128889364785134,"pocfade: price +0.61% from POC, past ±0.40% — fading back toward value (xgb_p 0.69) [regime transitional]",signal_flip: entry rule now points long
2026-08-03 02:30:00+00:00,2026-08-03 13:15:00+00:00,long,63146.1,62928.3,129,-0.0034491441276657724,0.001,-0.004449144127665772,ranging,0.5842742323875427,-0.05128326883354628,0.7624916240015082,0.6455473231523462,-0.44548627272091595,"pocfade: price -0.45% from POC, past ±0.40% — fading back toward value (xgb_p 0.58) [regime ranging]",signal_flip: entry rule now points short
2026-08-03 13:40:00+00:00,2026-08-03 21:50:00+00:00,short,62899.9,63589.2,98,-0.01095868196928764,0.001,-0.011958681969287639,transitional,0.581506609916687,0.04771758822583738,-0.21191557254610918,0.753421835292587,0.45560281714370954,"pocfade: price +0.46% from POC, past ±0.40% — fading back toward value (xgb_p 0.58) [regime transitional]",signal_flip: entry rule now points long
2026-08-03 23:05:00+00:00,2026-08-04 02:05:00+00:00,long,63556.6,63779.3,36,0.003503963396405792,0.001,0.002503963396405792,ranging,0.5532088875770569,0.016838222450221707,1.0069550833064014,0.4898846921590069,-0.41888664051660635,"pocfade: price -0.42% from POC, past ±0.40% — fading back toward value (xgb_p 0.55) [regime ranging]",signal_flip: entry rule now points short
2026-08-04 02:30:00+00:00,2026-08-04 07:15:00+00:00,short,63784.0,63525.3,57,0.004055876081775948,0.001,0.003055876081775948,transitional,0.6496667265892029,0.0811205621011668,-0.8495096678646893,0.6721240387956264,0.44871997883055076,"pocfade: price +0.45% from POC, past ±0.40% — fading back toward value (xgb_p 0.65) [regime transitional]",signal_flip: entry rule now points long
2026-08-04 09:05:00+00:00,2026-08-04 11:45:00+00:00,long,63526.0,63914.2,32,0.0061108837326448555,0.001,0.0051108837326448555,ranging,0.5968908071517944,-0.08886092871466245,-0.5737599914452108,1.1196700632804546,-0.42248417232267677,"pocfade: price -0.42% from POC, past ±0.40% — fading back toward value (xgb_p 0.60) [regime ranging]",signal_flip: entry rule now points short
2026-08-04 12:50:00+00:00,2026-08-06 11:00:00+00:00,short,63924.5,64527.4,554,-0.009431438650282778,0.001,-0.010431438650282777,ranging,0.6101419627666473,0.09598642097483623,-0.17403808762485473,1.0215842994205881,0.5703108865408778,"pocfade: price +0.57% from POC, past ±0.40% — fading back toward value (xgb_p 0.61) [regime ranging]",signal_flip: entry rule now points long
2026-08-06 11:05:00+00:00,2026-08-06 15:05:00+00:00,long,64520.0,64892.6,48,0.00577495350278981,0.001,0.00477495350278981,transitional,0.7049947381019592,-0.15057886974541024,-0.8073554312229709,5.350631122178142,-0.44875516352649286,"pocfade: price -0.45% from POC, past ±0.40% — fading back toward value (xgb_p 0.70) [regime transitional]",signal_flip: entry rule now points short
2026-08-07 08:40:00+00:00,2026-08-07 15:00:00+00:00,short,64600.0,64860.3,76,-0.004029411764705927,0.001,-0.005029411764705927,transitional,0.7295562624931335,0.31756877421558194,1.331576693890408,6.978371616450081,0.45311820318419005,"pocfade: price +0.45% from POC, past ±0.40% — fading back toward value (xgb_p 0.73) [regime transitional]",signal_flip: entry rule now points long
2026-08-07 18:35:00+00:00,2026-08-09 13:40:00+00:00,long,64722.1,65186.4,517,0.007173747452570342,0.001,0.006173747452570342,ranging,0.5930740237236023,-0.13254536476978718,0.14442176035685744,2.1871027858348806,-0.42746493105103556,"pocfade: price -0.43% from POC, past ±0.40% — fading back toward value (xgb_p 0.59) [regime ranging]",signal_flip: entry rule now points short
